team,gold_diff,gold_diff_14min,elder_dragon_kills,baron_kills,dragon_kills,herald_kills,team_KD_ratio,game_length,objectives_stolen_away,first_turret_kill,second_turret_kill,third_turret_kill,baron_powerplay,first_blood,result,file_name
ITZ,6794,4414,1,0,5,1,2.4,32.03038333333333,0,1002103,1118059,1882737,0,True,1,./games/ESPORTSTMNT02_3230586_cleaned.json
VKS,-6794,-4414,0,1,0,1,0.375,32.03038333333333,0,1011114,1040424,,1490.0,False,0,./games/ESPORTSTMNT02_3230586_cleaned.json
LOS,4814,-2028,1,2,5,1,1.1,37.5921,0,1455247,2202475,2216414,3409.0,True,1,./games/ESPORTSTMNT03_3196075_cleaned.json
FUR,-4814,2028,0,1,1,1,0.9090909090909091,37.5921,0,766207,1485200,1565288,1574.0,False,0,./games/ESPORTSTMNT03_3196075_cleaned.json
LLL,7218,-85,0,1,3,0,1.8333333333333333,31.81785,0,1307315,1853254,1863405,0,False,1,./games/ESPORTSTMNT01_3381541_cleaned.json
LBR,-7218,85,0,0,1,2,0.5454545454545454,31.81785,0,959415,,,0,True,0,./games/ESPORTSTMNT01_3381541_cleaned.json
RED,8140,-42,1,1,5,0,2.5555555555555554,34.90508333333333,0,849007,2032828,2045423,0,True,1,./games/ESPORTSTMNT01_3376991_cleaned.json
LLL,-8140,42,0,1,0,2,0.391304347826087,34.90508333333333,0,841444,1793647,,-211.0,False,0,./games/ESPORTSTMNT01_3376991_cleaned.json
RED,12258,964,0,2,4,1,3.0,33.147166666666664,1,981581,1894569,1943527,-154.0,False,1,./games/ESPORTSTMNT02_3217355_cleaned.json
LOS,-12258,-964,0,0,1,1,0.3333333333333333,33.147166666666664,0,1040052,1121246,,0,True,0,./games/ESPORTSTMNT02_3217355_cleaned.json
VKS,9543,-1038,0,2,3,1,2.5714285714285716,30.9547,0,895512,1550357,1799560,1307.0,False,1,./games/ESPORTSTMNT01_3411202_cleaned.json
RED,-9543,1038,0,0,2,1,0.3888888888888889,30.9547,0,863025,,,0,True,0,./games/ESPORTSTMNT01_3411202_cleaned.json
FUR,8811,5593,0,0,0,2,13.0,19.902033333333332,0,668705,691835,1015394,0,True,1,./games/ESPORTSTMNT01_3408848_cleaned.json
VKS,-8811,-5593,0,0,1,0,0.07692307692307693,19.902033333333332,0,958506,,,0,False,0,./games/ESPORTSTMNT01_3408848_cleaned.json
LLL,9170,1009,0,1,3,2,2.25,30.539416666666668,0,594839,1696699,1825160,2296.0,False,1,./games/ESPORTSTMNT02_3212243_cleaned.json
KBM,-9170,-1009,0,0,1,0,0.4444444444444444,30.539416666666668,0,884743,,,0,True,0,./games/ESPORTSTMNT02_3212243_cleaned.json
PNG,6677,-747,0,1,1,2,2.1666666666666665,29.112016666666666,0,891627,1383447,1442533,2372.0,False,1,./games/ESPORTSTMNT01_3380053_cleaned.json
