team,gold_diff,gold_diff_14min,elder_dragon_kills,baron_kills,dragon_kills,herald_kills,team_KD_ratio,game_length,objectives_stolen_away,first_turret_kill,second_turret_kill,third_turret_kill,baron_powerplay,first_blood,result,file_name
KT,11528,1812,0,2,2,1,2.090909090909091,35.9873,0,1037306,1948408,2115845,965.0,False,1,./games/ESPORTSTMNT01_3410111_cleaned.json
LSB,-11528,-1812,0,0,3,1,0.4782608695652174,35.9873,0,1036206,,,0,True,0,./games/ESPORTSTMNT01_3410111_cleaned.json
KT,12007,2545,0,1,3,0,4.25,24.753416666666666,0,931593,1359309,1451427,3608.0,True,1,./games/ESPORTSTMNT01_3412825_cleaned.json
T1,-12007,-2545,0,0,0,2,0.23529411764705882,24.753416666666666,0,1251860,,,0,False,0,./games/ESPORTSTMNT01_3412825_cleaned.json
DRX,7624,278,0,2,2,2,1.6,33.7674,0,1006762,1753906,1995268,698.0,True,1,./games/ESPORTSTMNT01_3386968_cleaned.json
NS,-7624,-278,0,0,3,0,0.625,33.7674,0,894513,,,0,False,0,./games/ESPORTSTMNT01_3386968_cleaned.json
KT,10284,3112,0,2,2,2,1.0,37.02478333333333,0,887050,2056463,2207124,-473.0,True,1,./games/ESPORTSTMNT01_3387063_cleaned.json
DK,-10284,-3112,0,0,3,0,1.0,37.02478333333333,0,,,,0,False,0,./games/ESPORTSTMNT01_3387063_cleaned.json
NS,11795,1903,0,2,4,2,4.5,32.38535,0,963160,1508705,1902281,1382.0,True,1,./games/ESPORTSTMNT02_3221974_cleaned.json
KDF,-11795,-1903,0,0,1,0,0.2222222222222222,32.38535,0,1076455,1794423,,0,False,0,./games/ESPORTSTMNT02_3221974_cleaned.json
NS,3931,-1044,0,2,4,1,1.4545454545454546,38.94315,0,1557185,1878060,2310935,-179.0,False,1,./games/ESPORTSTMNT02_3219429_cleaned.json
LSB,-3931,1044,0,1,2,1,0.6875,38.94315,0,1016819,1767736,1989698,-3009.0,True,0,./games/ESPORTSTMNT02_3219429_cleaned.json
KT,14313,2212,0,1,3,1,2.75,28.40465,1,894810,1640078,1686095,0,True,1,./games/ESPORTSTMNT02_3216219_cleaned.json
NS,-14313,-2212,0,0,1,1,0.36363636363636365,28.40465,0,1322249,,,0,False,0,./games/ESPORTSTMNT02_3216219_cleaned.json
GEN,4425,351,1,1,5,0,1.5454545454545454,45.264116666666666,0,1067245,2346237,2636048,2871.0,True,1,./games/ESPORTSTMNT02_3213439_cleaned.json
BRO,-4425,-351,1,2,2,2,0.6470588235294118,45.264116666666666,0,1090700,1834952,2290305,1726.0,False,0,./games/ESPORTSTMNT02_3213439_cleaned.json
GEN,1061,1874,0,1,0,1,0.6363636363636364,30.103016666666665,0,989161,1777852,1783984,0,True,1,./games/ESPORTSTMNT01_3415015_cleaned.json
HLE,-1061,-1874,0,1,4,1,1.5714285714285714,30.103016666666665,1,1043881,1588563,,3774.0,False,0,./games/ESPORTSTMNT01_3415015_cleaned.json
HLE,8469,305,0,2,3,0,1.5,36.5051,0,1068796,2027947,2131952,1563.0,False,1,./games/ESPORTSTMNT02_3221926_cleaned.json
T1,-8469,-305,0,0,2,2,0.6666666666666666,36.5051,0,1386980,,,0,True,0,./games/ESPORTSTMNT02_3221926_cleaned.json
GEN,17988,7205,0,1,2,1,5.666666666666667,22.89875,0,807144,1311463,1333157,0,True,1,./games/ESPORTSTMNT02_3219631_cleaned.json
NS,-17988,-7205,0,0,1,1,0.17647058823529413,22.89875,0,1246191,,,0,False,0,./games/ESPORTSTMNT02_3219631_cleaned.json
DK,14239,3951,0,1,4,1,11,29.641683333333333,0,819347,1720479,1749169,0,True,1,./games/ESPORTSTMNT03_3166620_cleaned.json
LSB,-14239,-3951,0,0,0,1,0.0,29.641683333333333,0,1013109,,,0,False,0,./games/ESPORTSTMNT03_3166620_cleaned.json
DRX,-1733,-108,0,0,4,1,1.05,40.07548333333333,0,1482642,1868663,2383230,0,False,1,./games/ESPORTSTMNT02_3214449_cleaned.json
LSB,1733,108,0,2,2,1,0.9523809523809523,40.07548333333333,0,1011447,2309176,2059505,-2214.0,True,0,./games/ESPORTSTMNT02_3214449_cleaned.json
NS,10844,443,0,2,3,2,9.0,31.279333333333334,0,1077208,1350236,1804208,2629.0,True,1,./games/ESPORTSTMNT02_3222301_cleaned.json
DRX,-10844,-443,0,0,1,0,0.1111111111111111,31.279333333333334,1,989179,,,0,False,0,./games/ESPORTSTMNT02_3222301_cleaned.json
T1,8323,1583,0,0,3,1,3.25,31.509916666666665,0,966961,1845553,1857696,0,True,1,./games/ESPORTSTMNT01_3416038_cleaned.json
KT,-8323,-1583,0,1,2,1,0.3076923076923077,31.509916666666665,0,1485683,,,-2573.0,False,0,./games/ESPORTSTMNT01_3416038_cleaned.json
T1,3877,266,0,0,3,1,2.3333333333333335,26.085733333333334,0,1003126,1352757,1539106,0,True,1,./games/ESPORTSTMNT04_2673984_cleaned.json
GEN,-3877,-266,0,0,0,1,0.42857142857142855,26.085733333333334,0,1245527,,,0,False,0,./games/ESPORTSTMNT04_2673984_cleaned.json
DRX,9612,696,0,0,3,1,3.0,32.50618333333333,0,961406,1778858,1918888,0,False,1,./games/ESPORTSTMNT02_3217759_cleaned.json
T1,-9612,-696,0,1,1,1,0.3333333333333333,32.50618333333333,0,1610153,,,-2563.0,True,0,./games/ESPORTSTMNT02_3217759_cleaned.json
KT,11436,2494,0,1,3,1,4.25,22.5892,0,864274,1324233,1331499,0,False,1,./games/ESPORTSTMNT01_3387101_cleaned.json
DK,-11436,-2494,0,0,0,1,0.23529411764705882,22.5892,0,1128157,,,0,True,0,./games/ESPORTSTMNT01_3387101_cleaned.json
KDF,7788,1552,0,0,4,1,4.0,31.49715,0,890745,1276019,1858289,0,True,1,./games/ESPORTSTMNT03_3170167_cleaned.json
BRO,-7788,-1552,0,0,0,1,0.25,31.49715,1,1647776,,,0,False,0,./games/ESPORTSTMNT03_3170167_cleaned.json
LSB,11825,1472,0,0,3,2,5.666666666666667,24.21905,0,1034166,1322822,1427198,0,True,1,./games/ESPORTSTMNT02_3219915_cleaned.json
KDF,-11825,-1472,0,0,0,0,0.11764705882352941,24.21905,0,1107695,,,0,False,0,./games/ESPORTSTMNT02_3219915_cleaned.json
HLE,9048,747,0,1,2,2,2.25,32.58221666666667,0,1168830,1873264,1914012,-977.0,False,1,./games/ESPORTSTMNT02_3219940_cleaned.json
BRO,-9048,-747,0,0,2,0,0.4444444444444444,32.58221666666667,0,1458493,,,0,True,0,./games/ESPORTSTMNT02_3219940_cleaned.json
GEN,16676,2449,0,1,4,1,6.5,32.90723333333333,0,922547,1777257,1890922,2304.0,True,1,./games/ESPORTSTMNT02_3220426_cleaned.json
DRX,-16676,-2449,0,0,1,1,0.15384615384615385,32.90723333333333,0,965915,,,0,False,0,./games/ESPORTSTMNT02_3220426_cleaned.json
KT,6585,-3318,0,2,3,0,2.0,31.11265,0,1485521,1809572,1840148,-104.0,True,1,./games/ESPORTSTMNT02_3221775_cleaned.json
DK,-6585,3318,0,0,1,2,0.5,31.11265,0,912462,1611303,,0,False,0,./games/ESPORTSTMNT02_3221775_cleaned.json
KT,9010,862,0,1,2,1,2.857142857142857,26.226016666666666,0,950173,1489714,1503785,421.0,False,1,./games/ESPORTSTMNT06_2823458_cleaned.json
KDF,-9010,-862,0,0,1,1,0.35,26.226016666666666,1,1272312,,,0,True,0,./games/ESPORTSTMNT06_2823458_cleaned.json
GEN,10377,-679,0,1,4,0,5.25,31.06675,1,902697,1762745,1845548,0,True,1,./games/ESPORTSTMNT01_3418098_cleaned.json
T1,-10377,679,0,1,0,2,0.19047619047619047,31.06675,0,899683,1460207,,-1633.0,False,0,./games/ESPORTSTMNT01_3418098_cleaned.json
DRX,5334,-513,0,2,3,0,2.75,35.73368333333333,0,1744376,1939286,2125647,1146.0,True,1,./games/ESPORTSTMNT03_3196827_cleaned.json
T1,-5334,513,0,0,1,2,0.36363636363636365,35.73368333333333,0,1023428,1926015,,0,False,0,./games/ESPORTSTMNT03_3196827_cleaned.json
GEN,14437,3409,0,2,2,1,3.6666666666666665,28.574,0,775857,1461555,1670483,105.0,True,1,./games/ESPORTSTMNT01_3376253_cleaned.json
NS,-14437,-3409,0,0,2,1,0.2727272727272727,28.574,0,,,,0,False,0,./games/ESPORTSTMNT01_3376253_cleaned.json
T1,10503,-773,0,2,3,1,1.6666666666666667,28.56335,0,972911,1643643,1663618,31.0,False,1,./games/ESPORTSTMNT03_3197780_cleaned.json
DRX,-10503,773,0,0,0,1,0.6,28.56335,2,1025033,,,0,True,0,./games/ESPORTSTMNT03_3197780_cleaned.json
LSB,10476,343,0,1,4,1,4.5,29.657983333333334,0,1109817,1592193,1615833,4311.0,True,1,./games/ESPORTSTMNT01_3386462_cleaned.json
HLE,-10476,-343,0,0,0,1,0.2222222222222222,29.657983333333334,0,1093179,,,0,False,0,./games/ESPORTSTMNT01_3386462_cleaned.json
KT,13893,1178,0,1,4,1,4.0,27.454816666666666,0,864828,1612870,1588968,0,False,1,./games/ESPORTSTMNT03_3199067_cleaned.json
T1,-13893,-1178,0,0,0,1,0.25,27.454816666666666,0,896577,,,0,True,0,./games/ESPORTSTMNT03_3199067_cleaned.json
GEN,17848,4284,0,1,2,2,6.0,24.0751,0,760168,1373490,1407446,5817.0,True,1,./games/ESPORTSTMNT03_3170021_cleaned.json
KT,-17848,-4284,0,0,1,0,0.16666666666666666,24.0751,0,,,,0,False,0,./games/ESPORTSTMNT03_3170021_cleaned.json
HLE,7824,1146,0,1,4,1,1.6428571428571428,35.52965,0,867151,2002151,2048493,4463.0,True,1,./games/ESPORTSTMNT02_3219458_cleaned.json
KDF,-7824,-1146,0,1,1,1,0.6086956521739131,35.52965,1,1394726,1542974,,-156.0,False,0,./games/ESPORTSTMNT02_3219458_cleaned.json
KT,11816,-237,0,1,3,1,2.0,26.865183333333334,0,1034174,1524451,1597703,4963.0,True,1,./games/ESPORTSTMNT02_3220608_cleaned.json
DRX,-11816,237,0,0,1,1,0.5,26.865183333333334,0,857449,,,0,False,0,./games/ESPORTSTMNT02_3220608_cleaned.json
DK,9089,-126,0,1,4,1,3.8,33.453316666666666,0,1208798,1861253,1979587,2526.0,True,1,./games/ESPORTSTMNT02_3222337_cleaned.json
BRO,-9089,126,0,0,1,1,0.2631578947368421,33.453316666666666,0,885119,1981397,,0,False,0,./games/ESPORTSTMNT02_3222337_cleaned.json
GEN,-10896,-1882,0,0,1,1,0.5862068965517241,35.503766666666664,0,1082307,,,0,False,0,./games/ESPORTSTMNT04_2676181_cleaned.json
T1,7738,722,0,2,4,2,2.5714285714285716,38.01371666666667,0,910571,1555403,2254259,347.0,False,1,./games/ESPORTSTMNT02_3220410_cleaned.json
NS,-7738,-722,0,1,1,0,0.3888888888888889,38.01371666666667,0,977759,1382418,,1590.0,True,0,./games/ESPORTSTMNT02_3220410_cleaned.json
HLE,9107,2094,0,2,4,1,2.3333333333333335,30.189266666666665,0,1007930,1702258,1749011,130.0,True,1,./games/ESPORTSTMNT02_3219737_cleaned.json
KT,-9107,-2094,0,0,0,1,0.42857142857142855,30.189266666666665,0,1103812,,,0,False,0,./games/ESPORTSTMNT02_3219737_cleaned.json
T1,10939,2610,0,1,4,0,3.0,26.786683333333333,0,827164,1334986,1555980,1747.0,True,1,./games/ESPORTSTMNT01_3372716_cleaned.json
LSB,-10939,-2610,0,0,0,2,0.3333333333333333,26.786683333333333,0,1332882,,,0,False,0,./games/ESPORTSTMNT01_3372716_cleaned.json
DK,9164,1804,0,1,4,0,1.3333333333333333,31.30595,0,980767,1759230,1795808,1350.0,True,1,./games/ESPORTSTMNT01_3381214_cleaned.json
NS,-9164,-1804,0,0,0,2,0.75,31.30595,1,1797842,,,0,False,0,./games/ESPORTSTMNT01_3381214_cleaned.json
DK,15227,6744,0,0,3,2,6.5,21.740816666666667,0,854573,1040955,1270220,0,True,1,./games/ESPORTSTMNT03_3170239_cleaned.json
DRX,-15227,-6744,0,0,0,0,0.15384615384615385,21.740816666666667,0,,,,0,False,0,./games/ESPORTSTMNT03_3170239_cleaned.json
GEN,11707,2371,0,1,2,1,2.857142857142857,30.01205,0,976495,1516585,1750569,-2182.0,True,1,./games/ESPORTSTMNT04_2674968_cleaned.json
T1,-11707,-2371,0,0,3,1,0.35,30.01205,0,898986,,,0,False,0,./games/ESPORTSTMNT04_2674968_cleaned.json
GEN,-7389,-572,0,0,1,0,0.375,27.52788333333333,0,1050204,,,0,False,0,./games/ESPORTSTMNT04_2677157_cleaned.json
T1,11689,6162,0,1,4,2,2.7142857142857144,26.121383333333334,0,916890,1528014,1536442,0,True,1,./games/ESPORTSTMNT01_3412846_cleaned.json
KT,-11689,-6162,0,0,0,0,0.3684210526315789,26.121383333333334,0,1111030,1511295,,0,False,0,./games/ESPORTSTMNT01_3412846_cleaned.json
HLE,15862,1684,0,1,3,2,4.0,25.28775,0,993704,1422856,1484511,4995.0,True,1,./games/ESPORTSTMNT01_3373049_cleaned.json
DRX,-15862,-1684,0,0,0,0,0.1875,25.28775,0,,,,0,False,0,./games/ESPORTSTMNT01_3373049_cleaned.json
HLE,8982,847,0,2,4,0,2.3333333333333335,33.13158333333333,0,920041,1818386,1967603,464.5,False,1,./games/ESPORTSTMNT02_3220527_cleaned.json
BRO,-8982,-847,0,0,1,2,0.42857142857142855,33.13158333333333,0,1146213,,,0,True,0,./games/ESPORTSTMNT02_3220527_cleaned.json
T1,-11049,-1555,0,0,1,1,0.4375,31.932366666666667,0,1135214,,,0,False,0,./games/ESPORTSTMNT04_2679108_cleaned.json
GEN,9605,2125,0,1,3,1,1.8888888888888888,28.642333333333333,0,804132,1668290,1679153,365.0,False,1,./games/ESPORTSTMNT02_3216741_cleaned.json
HLE,-9605,-2125,0,0,1,1,0.5294117647058824,28.642333333333333,0,951648,1206013,,0,True,0,./games/ESPORTSTMNT02_3216741_cleaned.json
GEN,13078,1834,0,1,4,1,3.4,27.79085,0,909804,1476583,1551737,3656.0,True,1,./games/ESPORTSTMNT02_3220450_cleaned.json
DRX,-13078,-1834,0,0,0,1,0.29411764705882354,27.79085,0,1526859,,,0,False,0,./games/ESPORTSTMNT02_3220450_cleaned.json
KT,14764,2026,0,1,3,1,3.0,27.8009,0,899101,1611004,1658910,1530.0,False,1,./games/ESPORTSTMNT01_3408510_cleaned.json
NS,-14764,-2026,0,0,1,1,0.3333333333333333,27.8009,0,,,,0,True,0,./games/ESPORTSTMNT01_3408510_cleaned.json
GEN,8950,-50,0,1,3,0,2.5,30.24266666666667,1,1036351,1609781,1790597,1922.0,True,1,./games/ESPORTSTMNT01_3387569_cleaned.json
DK,-8950,50,0,0,1,2,0.4,30.24266666666667,0,1093338,1599015,,0,False,0,./games/ESPORTSTMNT01_3387569_cleaned.json
T1,3110,311,0,1,3,1,1.0666666666666667,39.317816666666666,1,1047406,2237260,2319204,-1619.0,False,1,./games/ESPORTSTMNT01_3374638_cleaned.json
LSB,-3110,-311,0,1,3,1,0.875,39.317816666666666,0,1384101,1929080,1938062,2046.0,True,0,./games/ESPORTSTMNT01_3374638_cleaned.json
DK,7823,-518,0,2,4,1,2.6666666666666665,31.104483333333334,0,750244,1483751,1454018,2156.0,False,1,./games/ESPORTSTMNT01_3385750_cleaned.json
GEN,-7823,518,0,0,0,1,0.375,31.104483333333334,0,744551,,,0,True,0,./games/ESPORTSTMNT01_3385750_cleaned.json
DK,10641,1950,0,1,4,2,3.0,27.166333333333334,0,958987,1577930,1594860,5777.0,True,1,./games/ESPORTSTMNT02_3215087_cleaned.json
HLE,-10641,-1950,0,0,0,0,0.3333333333333333,27.166333333333334,0,1081211,,,0,False,0,./games/ESPORTSTMNT02_3215087_cleaned.json
KT,10655,1361,0,2,3,0,6.5,30.758783333333334,0,919509,1496543,1660478,3259.0,True,1,./games/ESPORTSTMNT01_3413370_cleaned.json
HLE,-10655,-1361,0,0,1,2,0.15384615384615385,30.758783333333334,0,928912,,,0,False,0,./games/ESPORTSTMNT01_3413370_cleaned.json
GEN,-2872,1749,0,0,1,2,0.55,32.4539,0,799743,1008071,,0,False,0,./games/ESPORTSTMNT04_2674828_cleaned.json
HLE,3090,-1036,0,2,2,1,1.4285714285714286,41.0802,0,902623,1902022,1931169,-1581.0,False,1,./games/ESPORTSTMNT03_3200068_cleaned.json
DRX,-3090,1036,0,1,4,1,0.7,41.0802,0,886368,1727028,2025137,-624.0,True,0,./games/ESPORTSTMNT03_3200068_cleaned.json
T1,9679,1060,0,1,3,1,3.25,23.6705,0,1147923,1383103,1392542,0,True,1,./games/ESPORTSTMNT01_3404937_cleaned.json
KDF,-9679,-1060,0,0,0,1,0.3076923076923077,23.6705,0,1266695,,,0,False,0,./games/ESPORTSTMNT01_3404937_cleaned.json
T1,13066,2321,0,1,2,2,5.0,23.71315,0,1074409,1378481,1395566,0,True,1,./games/ESPORTSTMNT01_3404962_cleaned.json
KDF,-13066,-2321,0,0,0,0,0.2,23.71315,0,1253670,,,0,False,0,./games/ESPORTSTMNT01_3404962_cleaned.json
NS,4440,1225,0,0,4,1,3.0,35.62351666666667,0,952774,1988544,2026356,0,True,1,./games/ESPORTSTMNT03_3166917_cleaned.json
BRO,-4440,-1225,0,1,1,1,0.2222222222222222,35.62351666666667,0,1199465,1881850,,2089.0,False,0,./games/ESPORTSTMNT03_3166917_cleaned.json
DRX,4986,211,0,3,2,0,0.9545454545454546,34.77766666666667,1,1361139,1488945,2064630,-800.5,False,1,./games/ESPORTSTMNT02_3221581_cleaned.json
KT,-4986,-211,0,0,3,2,1.0476190476190477,34.77766666666667,0,866711,1810995,,0,True,0,./games/ESPORTSTMNT02_3221581_cleaned.json
