team,gold_diff,gold_diff_14min,elder_dragon_kills,baron_kills,dragon_kills,herald_kills,team_KD_ratio,game_length,objectives_stolen_away,first_turret_kill,second_turret_kill,third_turret_kill,baron_powerplay,first_blood,result,file_name
C9,9029,-1051,0,2,3,0,1.2142857142857142,33.336083333333335,0,886554,1970290,1978896,-2252.0,True,1,./games/ESPORTSTMNT01_3414314_cleaned.json
NRG,-9029,1051,0,0,2,2,0.8235294117647058,33.336083333333335,0,671955,1541175,,0,False,0,./games/ESPORTSTMNT01_3414314_cleaned.json
DIG,8517,47,0,0,2,2,3.2,28.192933333333333,0,1091723,1599805,1671658,0,True,1,./games/ESPORTSTMNT03_3194836_cleaned.json
100,-8517,-47,0,1,2,0,0.3125,28.192933333333333,0,971122,997205,,-3268.0,False,0,./games/ESPORTSTMNT03_3194836_cleaned.json
NRG,1766,-4306,0,1,3,1,1.6363636363636365,32.996116666666666,0,1139219,1954389,1959322,0,False,1,./games/ESPORTSTMNT01_3411210_cleaned.json
GG,-1766,4306,0,1,2,1,0.6111111111111112,32.996116666666666,0,695107,1479394,1770709,-1698.0,True,0,./games/ESPORTSTMNT01_3411210_cleaned.json
GG,-11737,-2194,0,0,1,1,0.5,24.6625,0,930678,,,0,False,0,./games/ESPORTSTMNT04_2674919_cleaned.json
GG,15913,2772,0,2,3,1,3.5,33.57581666666667,0,919311,1938304,1982636,3034.0,True,1,./games/ESPORTSTMNT03_3192696_cleaned.json
DIG,-15913,-2772,0,0,1,1,0.2857142857142857,33.57581666666667,0,920878,,,0,False,0,./games/ESPORTSTMNT03_3192696_cleaned.json
C9,6753,-726,0,1,2,2,1.8,26.612866666666665,0,860948,1553860,1573092,0,False,1,./games/ESPORTSTMNT01_3373466_cleaned.json
GG,-6753,726,0,0,2,0,0.5555555555555556,26.612866666666665,0,1165428,,,0,True,0,./games/ESPORTSTMNT01_3373466_cleaned.json
TL,12003,2881,0,2,2,2,1.9090909090909092,29.95245,0,977020,1464907,1772039,151.0,True,1,./games/ESPORTSTMNT01_3373511_cleaned.json
TSM,-12003,-2881,0,0,2,0,0.5238095238095238,29.95245,0,1397630,,,0,False,0,./games/ESPORTSTMNT01_3373511_cleaned.json
TSM,9959,-400,1,4,2,1,1.625,45.54238333333333,0,859698,2073286,2703325,-162.0,True,1,./games/ESPORTSTMNT01_3408372_cleaned.json
DIG,-9959,400,0,0,4,1,0.6153846153846154,45.54238333333333,0,893412,1366561,1934386,0,False,0,./games/ESPORTSTMNT01_3408372_cleaned.json
DIG,9193,-1333,0,1,1,1,6.0,26.815516666666667,0,883292,1446452,1469329,2717.0,False,1,./games/ESPORTSTMNT01_3409279_cleaned.json
TSM,-9193,1333,0,0,2,1,0.16666666666666666,26.815516666666667,0,980618,,,0,True,0,./games/ESPORTSTMNT01_3409279_cleaned.json
DIG,5401,268,0,1,4,1,1.1538461538461537,31.5644,0,896494,1633111,1862353,333.0,True,1,./games/ESPORTSTMNT03_3177481_cleaned.json
FLY,-5401,-268,0,0,1,1,0.8666666666666667,31.5644,0,1065509,1100269,,0,False,0,./games/ESPORTSTMNT03_3177481_cleaned.json
100,6369,-1503,0,1,4,1,1.6666666666666667,35.96301666666667,0,1186607,2000727,1980585,2819.0,False,1,./games/ESPORTSTMNT02_3212009_cleaned.json
IMT,-6369,1503,0,0,1,1,0.6,35.96301666666667,0,919253,,,0,True,0,./games/ESPORTSTMNT02_3212009_cleaned.json
TSM,12251,1005,0,2,3,2,1.6666666666666667,40.052416666666666,0,1024712,2220206,2378860,-156.0,True,1,./games/ESPORTSTMNT03_3175740_cleaned.json
IMT,-12251,-1005,0,0,2,0,0.6,40.052416666666666,1,952925,,,0,False,0,./games/ESPORTSTMNT03_3175740_cleaned.json
NRG,-1710,1023,0,1,2,0,1.1666666666666667,31.01465,0,950294,1538600,1808751,415.0,False,1,./games/ESPORTSTMNT03_3174818_cleaned.json
TL,1710,-1023,0,1,3,2,0.8571428571428571,31.01465,0,919514,1447663,1726124,0,True,0,./games/ESPORTSTMNT03_3174818_cleaned.json
