team,gold_diff,gold_diff_14min,elder_dragon_kills,baron_kills,dragon_kills,herald_kills,team_KD_ratio,game_length,objectives_stolen_away,first_turret_kill,second_turret_kill,third_turret_kill,baron_powerplay,first_blood,result,file_name
XL,6290,-1394,0,2,4,1,1.7,39.24026666666666,0,1695467,2318489,2330370,-102.0,True,1,./games/ESPORTSTMNT06_2818982_cleaned.json
MAD,-6290,1394,0,1,1,1,0.5882352941176471,39.24026666666666,0,789433,1368825,,-114.0,False,0,./games/ESPORTSTMNT06_2818982_cleaned.json
TH,5058,3142,1,0,5,0,1.8,37.70565,0,815781,2158705,2024585,0,True,1,./games/ESPORTSTMNT04_2685458_cleaned.json
SK,-5058,-3142,0,1,0,2,0.5555555555555556,37.70565,0,887929,2234810,,493.0,False,0,./games/ESPORTSTMNT04_2685458_cleaned.json
XL,263,-2227,0,1,3,1,1.4615384615384615,38.49955,2,922254,2258864,2266115,0,False,1,./games/ESPORTSTMNT04_2687160_cleaned.json
MAD,-263,2227,0,2,3,1,0.6842105263157895,38.49955,0,657817,1862596,2136091,578.5,True,0,./games/ESPORTSTMNT04_2687160_cleaned.json
G2,16986,4423,0,2,2,2,2.769230769230769,31.184033333333332,0,548003,1368392,1835677,-176.0,True,1,./games/ESPORTSTMNT06_2823396_cleaned.json
XL,-16986,-4423,0,0,2,0,0.3611111111111111,31.184033333333332,0,,,,0,False,0,./games/ESPORTSTMNT06_2823396_cleaned.json
MAD,2605,-1219,0,1,3,0,0.8888888888888888,40.32156666666667,1,1485902,2014388,2198112,1321.0,True,1,./games/ESPORTSTMNT04_2685607_cleaned.json
KOI,-2605,1219,0,1,2,2,1.125,40.32156666666667,0,668664,1869442,,-800.0,False,0,./games/ESPORTSTMNT04_2685607_cleaned.json
G2,9740,-4635,0,3,1,1,1.5,36.9644,0,1099021,2182742,2191052,2785.5,False,1,./games/ESPORTSTMNT04_2677067_cleaned.json
FNC,9183,4835,0,1,4,1,1.7,33.60235,0,672822,1954166,1983749,-1170.0,True,1,./games/ESPORTSTMNT04_2686566_cleaned.json
TH,-9183,-4835,0,1,1,1,0.5882352941176471,33.60235,0,962622,1531316,1693581,-1927.0,False,0,./games/ESPORTSTMNT04_2686566_cleaned.json
TH,4395,1745,0,1,3,2,2.142857142857143,31.0295,0,1028703,1807461,1831352,483.0,True,1,./games/ESPORTSTMNT06_2823469_cleaned.json
FNC,-4395,-1745,0,1,2,0,0.4666666666666667,31.0295,0,959229,,,0,False,0,./games/ESPORTSTMNT06_2823469_cleaned.json
G2,-13431,-407,0,0,2,0,0.4090909090909091,27.44875,0,,,,0,True,0,./games/ESPORTSTMNT04_2673828_cleaned.json
FNC,14509,1775,0,1,3,1,2.4,25.8942,0,901534,1361704,1526887,2956.0,True,1,./games/ESPORTSTMNT04_2685496_cleaned.json
AST,-14509,-1775,0,0,0,1,0.4166666666666667,25.8942,1,,,,0,False,0,./games/ESPORTSTMNT04_2685496_cleaned.json
KOI,2963,2150,0,1,3,1,1.3333333333333333,35.30566666666667,0,860198,1831177,1963251,-1539.0,True,1,./games/ESPORTSTMNT04_2685469_cleaned.json
XL,-2963,-2150,0,1,3,1,0.75,35.30566666666667,1,1036861,1436611,,1426.0,False,0,./games/ESPORTSTMNT04_2685469_cleaned.json
G2,11519,807,0,1,4,2,4.0,28.417416666666668,0,684916,1534804,1541914,3505.0,True,1,./games/ESPORTSTMNT06_2822059_cleaned.json
KOI,-11519,-807,0,0,0,0,0.25,28.417416666666668,0,807445,,,0,False,0,./games/ESPORTSTMNT06_2822059_cleaned.json
TH,8588,443,0,1,3,2,2.6,29.554383333333334,0,1099830,1599223,1703244,1785.0,False,1,./games/ESPORTSTMNT06_2821034_cleaned.json
BDS,-8588,-443,0,0,1,0,0.38461538461538464,29.554383333333334,0,929896,1261065,,0,True,0,./games/ESPORTSTMNT06_2821034_cleaned.json
FNC,6583,1537,0,1,3,0,1.4666666666666666,34.967733333333335,0,886039,1656253,2079978,-2912.0,True,1,./games/ESPORTSTMNT06_2823385_cleaned.json
SK,-6583,-1537,0,1,2,2,0.6521739130434783,34.967733333333335,0,886539,1883556,,893.0,False,0,./games/ESPORTSTMNT06_2823385_cleaned.json
G2,2872,-1749,0,1,3,0,1.5833333333333333,32.4539,0,1163268,1682577,1691847,-1505.0,True,1,./games/ESPORTSTMNT04_2674828_cleaned.json
BDS,7707,472,0,1,4,1,5.0,25.995333333333335,0,900380,1481542,1507258,0,True,1,./games/ESPORTSTMNT05_3240542_cleaned.json
SK,-7707,-472,0,0,0,1,0.2,25.995333333333335,0,898335,1507823,,0,False,0,./games/ESPORTSTMNT05_3240542_cleaned.json
TH,8247,-2136,0,2,4,0,2.3333333333333335,41.5789,0,1427501,2118070,2377898,1710.5,True,1,./games/ESPORTSTMNT06_2823368_cleaned.json
KOI,-8247,2136,0,1,1,2,0.42857142857142855,41.5789,0,938460,1519891,1549888,51.0,False,0,./games/ESPORTSTMNT06_2823368_cleaned.json
G2,7719,1013,0,2,3,2,1.75,34.96758333333333,0,732340,1910157,2078224,442.0,False,1,./games/ESPORTSTMNT04_2688621_cleaned.json
TH,-7719,-1013,0,0,2,0,0.5714285714285714,34.96758333333333,0,1245486,1649516,,0,True,0,./games/ESPORTSTMNT04_2688621_cleaned.json
XL,6799,-766,0,1,4,2,1.2666666666666666,34.59843333333333,1,1071398,1731508,1904172,3071.0,True,1,./games/ESPORTSTMNT06_2822069_cleaned.json
SK,-6799,766,0,1,1,0,0.7894736842105263,34.59843333333333,0,823206,1490463,1387882,-1027.0,False,0,./games/ESPORTSTMNT06_2822069_cleaned.json
TH,8878,-63,0,2,4,2,2.8333333333333335,28.6022,0,896569,1497965,1529542,1001.0,True,1,./games/ESPORTSTMNT06_2822362_cleaned.json
KOI,-8878,63,0,0,0,0,0.35294117647058826,28.6022,0,1042527,1433412,,0,False,0,./games/ESPORTSTMNT06_2822362_cleaned.json
XL,18217,3642,0,1,4,2,3.5714285714285716,28.693883333333332,0,887840,1644556,1710039,0,True,1,./games/ESPORTSTMNT06_2822453_cleaned.json
FNC,-18217,-3642,0,0,0,0,0.28,28.693883333333332,0,,,,0,False,0,./games/ESPORTSTMNT06_2822453_cleaned.json
XL,18373,4752,0,2,3,2,4.6,30.242316666666667,0,826321,1467612,1774479,2841.0,False,1,./games/ESPORTSTMNT06_2823490_cleaned.json
FNC,-18373,-4752,0,0,1,0,0.21739130434782608,30.242316666666667,0,1223113,,,0,True,0,./games/ESPORTSTMNT06_2823490_cleaned.json
G2,7498,-885,0,1,1,1,1.5294117647058822,32.7833,0,1493688,1921977,1930735,1647.0,False,1,./games/ESPORTSTMNT04_2675423_cleaned.json
G2,-4000,-1412,0,1,2,2,1.0,36.643366666666665,0,1081129,1682309,,2863.0,False,0,./games/ESPORTSTMNT04_2679033_cleaned.json
BDS,9616,1779,0,1,3,1,2.0,26.598383333333334,0,839993,1271041,1406696,2796.0,False,1,./games/ESPORTSTMNT06_2822047_cleaned.json
TH,-9616,-1779,0,0,1,1,0.5,26.598383333333334,0,1077683,,,0,True,0,./games/ESPORTSTMNT06_2822047_cleaned.json
BDS,7315,-1105,1,2,5,0,1.1875,35.849983333333334,0,943029,1789671,2127013,1032.0,False,1,./games/ESPORTSTMNT05_3239514_cleaned.json
SK,-7315,1105,0,1,0,2,0.8421052631578947,35.849983333333334,0,1095411,1878312,,625.0,True,0,./games/ESPORTSTMNT05_3239514_cleaned.json
MAD,9399,2808,0,1,2,1,1.8571428571428572,31.228133333333332,0,739444,1511048,1812144,1366.0,True,1,./games/ESPORTSTMNT05_3239389_cleaned.json
XL,-9399,-2808,0,0,2,1,0.5384615384615384,31.228133333333332,0,737717,,,0,False,0,./games/ESPORTSTMNT05_3239389_cleaned.json
TH,9464,-574,0,1,4,1,2.1,29.726933333333335,0,1048231,1637004,1677002,4787.0,True,1,./games/ESPORTSTMNT04_2683600_cleaned.json
AST,-9464,574,0,0,0,1,0.45454545454545453,29.726933333333335,0,794440,,,0,False,0,./games/ESPORTSTMNT04_2683600_cleaned.json
SK,12657,-146,0,2,2,2,6.75,30.145233333333334,0,793862,1762963,1760247,2196.0,True,1,./games/ESPORTSTMNT04_2687575_cleaned.json
MAD,-12657,146,0,0,3,0,0.14814814814814814,30.145233333333334,0,900279,,,0,False,0,./games/ESPORTSTMNT04_2687575_cleaned.json
TH,10014,563,0,1,3,1,3.4,29.161383333333333,0,962257,1637780,1658717,0,False,1,./games/ESPORTSTMNT06_2821361_cleaned.json
BDS,-10014,-563,0,0,1,1,0.29411764705882354,29.161383333333333,0,1079109,,,0,True,0,./games/ESPORTSTMNT06_2821361_cleaned.json
FNC,10750,817,0,2,3,0,1.6363636363636365,31.53095,0,1053696,1648933,1866925,1898.0,True,1,./games/ESPORTSTMNT05_3239537_cleaned.json
XL,-10750,-817,0,0,1,2,0.6111111111111112,31.53095,0,584283,1040543,,0,False,0,./games/ESPORTSTMNT05_3239537_cleaned.json
G2,11185,1253,0,1,2,1,4.2,25.078433333333333,0,926263,1425967,1449394,0,False,1,./games/ESPORTSTMNT06_2821457_cleaned.json
XL,-11185,-1253,0,0,1,1,0.23809523809523808,25.078433333333333,0,947438,,,0,True,0,./games/ESPORTSTMNT06_2821457_cleaned.json
G2,7546,192,0,1,2,2,2.0,35.32415,0,850377,1912922,2071795,1063.0,True,1,./games/ESPORTSTMNT06_2823406_cleaned.json
XL,-7546,-192,0,1,3,0,0.5,35.32415,0,1133692,,,-1826.0,False,0,./games/ESPORTSTMNT06_2823406_cleaned.json
BDS,10984,-573,0,2,4,1,3.3333333333333335,29.6205,0,908139,1530615,1740814,3723.0,False,1,./games/ESPORTSTMNT04_2685564_cleaned.json
KOI,-10984,573,0,0,0,1,0.3,29.6205,1,947915,,,0,True,0,./games/ESPORTSTMNT04_2685564_cleaned.json
BDS,10558,-636,0,1,4,1,4.75,26.42578333333333,0,948155,1418553,1514111,2821.0,True,1,./games/ESPORTSTMNT04_2688038_cleaned.json
SK,-10558,636,0,0,0,1,0.21052631578947367,26.42578333333333,0,1006696,,,0,False,0,./games/ESPORTSTMNT04_2688038_cleaned.json
G2,15687,3941,0,2,3,2,4.75,33.71366666666667,0,861191,1541174,1973426,2060.0,True,1,./games/ESPORTSTMNT05_3241433_cleaned.json
BDS,-15687,-3941,0,0,2,0,0.21052631578947367,33.71366666666667,0,1367793,,,0,False,0,./games/ESPORTSTMNT05_3241433_cleaned.json
SK,6568,-418,0,2,2,2,1.2307692307692308,31.053316666666667,0,796491,1237200,1844755,-316.0,True,1,./games/ESPORTSTMNT04_2686611_cleaned.json
FNC,-6568,418,0,0,2,0,0.8125,31.053316666666667,0,921746,976238,,0,False,0,./games/ESPORTSTMNT04_2686611_cleaned.json
G2,1833,-1541,0,1,2,1,0.7857142857142857,33.59076666666667,0,897110,1748443,1766289,817.0,False,1,./games/ESPORTSTMNT04_2688138_cleaned.json
SK,-1833,1541,0,1,3,1,1.2727272727272727,33.59076666666667,0,956702,1714131,,1082.0,True,0,./games/ESPORTSTMNT04_2688138_cleaned.json
FNC,11884,-581,0,2,2,0,2.5,29.013083333333334,0,949787,1420658,1694454,2902.0,False,1,./games/ESPORTSTMNT06_2823476_cleaned.json
TH,-11884,581,0,0,2,2,0.4,29.013083333333334,0,918125,1327898,,0,True,0,./games/ESPORTSTMNT06_2823476_cleaned.json
G2,-7410,-3789,0,1,2,1,0.5172413793103449,29.80885,0,948778,,,-3117.0,False,0,./games/ESPORTSTMNT04_2679020_cleaned.json
G2,8689,-692,0,1,2,0,1.5,27.70855,0,1084638,1577039,1599104,3885.0,False,1,./games/ESPORTSTMNT04_2686175_cleaned.json
AST,-8689,692,0,0,1,2,0.6666666666666666,27.70855,0,1161240,1620097,,0,True,0,./games/ESPORTSTMNT04_2686175_cleaned.json
G2,15531,1876,0,1,3,1,5.6,23.909266666666667,0,892533,1277189,1316075,3212.0,False,1,./games/ESPORTSTMNT06_2821467_cleaned.json
XL,-15531,-1876,0,0,0,1,0.17857142857142858,23.909266666666667,0,722048,,,0,True,0,./games/ESPORTSTMNT06_2821467_cleaned.json
G2,11020,-20,0,1,1,2,2.1,22.938566666666667,0,970657,1341194,1351864,0,True,1,./games/ESPORTSTMNT04_2675959_cleaned.json
MAD,-11020,20,0,0,1,0,0.47619047619047616,22.938566666666667,0,953133,983802,,0,False,0,./games/ESPORTSTMNT04_2675959_cleaned.json
G2,-11462,413,0,0,0,0,0.3,29.837416666666666,0,898719,,,0,True,0,./games/ESPORTSTMNT04_2679035_cleaned.json
MAD,-1679,-5542,0,1,3,0,0.8260869565217391,41.41068333333333,0,975002,2063223,1900457,2373.0,True,1,./games/ESPORTSTMNT05_3241417_cleaned.json
XL,1679,5542,0,2,2,2,1.2105263157894737,41.41068333333333,0,719931,2281773,2448732,1511.5,False,0,./games/ESPORTSTMNT05_3241417_cleaned.json
G2,10318,4801,0,1,4,2,1.4444444444444444,40.42588333333333,1,929588,2203551,2334207,1911.0,True,1,./games/ESPORTSTMNT04_2675563_cleaned.json
G2,10228,944,0,1,1,2,1.7777777777777777,25.900066666666667,0,742269,1399195,1529342,3110.0,False,1,./games/ESPORTSTMNT04_2675968_cleaned.json
MAD,-10228,-944,0,0,2,0,0.5625,25.900066666666667,0,924609,,,0,True,0,./games/ESPORTSTMNT04_2675968_cleaned.json
G2,9400,2555,0,0,4,2,3.125,31.4378,1,991853,1852262,1787332,0,True,1,./games/ESPORTSTMNT04_2684636_cleaned.json
FNC,-9400,-2555,0,1,1,0,0.32,31.4378,0,1270939,,,-799.0,False,0,./games/ESPORTSTMNT04_2684636_cleaned.json
XL,8732,1486,0,0,3,2,1.7777777777777777,29.055283333333332,0,1015250,1709385,1718106,0,False,1,./games/ESPORTSTMNT06_2818965_cleaned.json
MAD,-8732,-1486,0,0,1,0,0.5625,29.055283333333332,0,1493511,,,0,True,0,./games/ESPORTSTMNT06_2818965_cleaned.json
G2,12010,1884,0,1,4,2,2.8333333333333335,26.126883333333332,0,801931,1484797,1511813,1169.0,True,1,./games/ESPORTSTMNT04_2686073_cleaned.json
VIT,-12010,-1884,0,0,0,0,0.35294117647058826,26.126883333333332,0,839243,,,0,False,0,./games/ESPORTSTMNT04_2686073_cleaned.json
FNC,12023,3465,0,1,2,1,4.75,32.16088333333333,0,901451,1878526,1890749,1054.0,True,1,./games/ESPORTSTMNT04_2687192_cleaned.json
VIT,-12023,-3465,0,0,2,0,0.21052631578947367,32.16088333333333,0,1691311,,,0,False,0,./games/ESPORTSTMNT04_2687192_cleaned.json
TH,-1349,1312,0,0,3,1,1.375,33.04833333333333,0,972493,1954400,1960300,0,True,1,./games/ESPORTSTMNT04_2684645_cleaned.json
VIT,1349,-1312,0,2,2,1,0.7272727272727273,33.04833333333333,0,765232,1836830,,-1058.5,False,0,./games/ESPORTSTMNT04_2684645_cleaned.json
AST,12756,3948,0,1,4,2,5.0,25.6292,0,872383,1467104,1500509,1819.0,True,1,./games/ESPORTSTMNT04_2684610_cleaned.json
BDS,-12756,-3948,0,0,0,0,0.2,25.6292,0,1020288,,,0,False,0,./games/ESPORTSTMNT04_2684610_cleaned.json
TH,12288,842,0,1,3,2,2.1,27.076616666666666,0,884986,1548919,1565407,6352.0,True,1,./games/ESPORTSTMNT04_2686529_cleaned.json
MAD,-12288,-842,0,0,0,0,0.47619047619047616,27.076616666666666,1,907264,,,0,False,0,./games/ESPORTSTMNT04_2686529_cleaned.json
FNC,13577,2673,0,2,3,2,2.2857142857142856,30.05325,0,956610,1533240,1741920,952.0,True,1,./games/ESPORTSTMNT06_2823350_cleaned.json
MAD,-13577,-2673,0,0,1,0,0.4375,30.05325,0,1199553,,,0,False,0,./games/ESPORTSTMNT06_2823350_cleaned.json
FNC,8440,-348,0,1,3,0,2.25,32.95478333333333,0,1164765,1643001,1860561,1057.0,True,1,./games/ESPORTSTMNT04_2685544_cleaned.json
XL,-8440,348,0,0,2,2,0.4444444444444444,32.95478333333333,0,937247,,,0,False,0,./games/ESPORTSTMNT04_2685544_cleaned.json
KOI,9200,1412,0,1,3,0,1.25,32.70628333333333,1,915552,1905093,1926547,3767.0,False,1,./games/ESPORTSTMNT04_2687512_cleaned.json
VIT,-9200,-1412,0,0,2,2,0.8,32.70628333333333,0,969806,,,0,True,0,./games/ESPORTSTMNT04_2687512_cleaned.json
AST,11360,247,0,1,3,2,1.7777777777777777,34.33125,0,865488,1812112,2023946,1990.0,False,1,./games/ESPORTSTMNT04_2688524_cleaned.json
SK,-11360,-247,0,0,3,0,0.5625,34.33125,0,956245,,,0,True,0,./games/ESPORTSTMNT04_2688524_cleaned.json
SK,10611,16,0,3,4,2,1.875,34.78335,0,807091,1510712,1769958,403.5,False,1,./games/ESPORTSTMNT06_2819995_cleaned.json
FNC,-10611,-16,0,0,1,0,0.5333333333333333,34.78335,0,903138,1443503,,0,True,0,./games/ESPORTSTMNT06_2819995_cleaned.json
G2,12633,4900,0,1,2,2,3.4,23.22515,0,791273,1138356,1369430,0,True,1,./games/ESPORTSTMNT05_3239420_cleaned.json
BDS,-12633,-4900,0,0,1,0,0.29411764705882354,23.22515,0,1133983,,,0,False,0,./games/ESPORTSTMNT05_3239420_cleaned.json
BDS,11012,4119,0,1,4,2,3.6,26.4704,0,704032,1422771,1545625,3577.0,True,1,./games/ESPORTSTMNT05_3239416_cleaned.json
G2,-11012,-4119,0,0,0,0,0.2777777777777778,26.4704,0,988836,1567048,,0,False,0,./games/ESPORTSTMNT05_3239416_cleaned.json
MAD,5921,-661,0,1,2,1,1.7142857142857142,27.837466666666668,0,1057713,1574531,1650447,1605.0,True,1,./games/ESPORTSTMNT05_3239367_cleaned.json
XL,-5921,661,0,0,2,1,0.5833333333333334,27.837466666666668,0,982834,,,0,False,0,./games/ESPORTSTMNT05_3239367_cleaned.json
XL,2629,-1402,0,0,2,2,3.25,30.068833333333334,0,977521,1734408,1775376,0,False,1,./games/ESPORTSTMNT04_2688552_cleaned.json
AST,-2629,1402,0,1,3,0,0.3076923076923077,30.068833333333334,0,847842,1611647,,1017.0,True,0,./games/ESPORTSTMNT04_2688552_cleaned.json
FNC,3073,1450,0,1,4,1,2.4285714285714284,42.945433333333334,0,920839,1876477,1998508,2246.0,True,1,./games/ESPORTSTMNT04_2687523_cleaned.json
BDS,-3073,-1450,2,2,3,1,0.4117647058823529,42.945433333333334,1,917434,2255643,2273369,-168.5,False,0,./games/ESPORTSTMNT04_2687523_cleaned.json
BDS,819,822,0,1,4,1,1.0,42.02526666666667,0,1080597,2459242,2488334,4350.0,True,1,./games/ESPORTSTMNT05_3241555_cleaned.json
SK,-819,-822,0,2,2,1,1.0,42.02526666666667,0,1038252,2466369,2104636,861.5,False,0,./games/ESPORTSTMNT05_3241555_cleaned.json
FNC,11448,959,0,1,4,1,2.75,26.67268333333333,0,906500,1492131,1574061,1463.0,False,1,./games/ESPORTSTMNT06_2821347_cleaned.json
SK,-11448,-959,0,0,0,1,0.36363636363636365,26.67268333333333,0,1060903,1326792,,0,True,0,./games/ESPORTSTMNT06_2821347_cleaned.json
MAD,-5093,6412,0,0,2,2,0.8214285714285714,33.48681666666667,1,656307,1578187,,0,True,0,./games/ESPORTSTMNT04_2674856_cleaned.json
XL,14539,1841,0,2,3,2,2.8181818181818183,28.917366666666666,0,923056,1380313,1672165,3926.0,False,1,./games/ESPORTSTMNT06_2822395_cleaned.json
