team,gold_diff,gold_diff_14min,elder_dragon_kills,baron_kills,dragon_kills,herald_kills,team_KD_ratio,game_length,objectives_stolen_away,first_turret_kill,second_turret_kill,third_turret_kill,baron_powerplay,first_blood,result
SHG,8094,720,0,2,1,1,1.9,34.860366666666664,1,1272666,2065465,2072632,-2441.0,True,1
DFM,-8094,-720,0,1,4,1,0.5263157894736842,34.860366666666664,0,1174932,1184379,,-5692.0,False,0
DFM,11968,2887,0,1,2,2,5.333333333333333,25.986983333333335,0,1045947,1499804,1517374,1566.0,True,1
CGA,-11968,-2887,0,0,1,0,0.1875,25.986983333333335,0,1082091,,,0,False,0
DFM,9317,7354,0,1,4,2,2.25,29.750716666666666,0,711484,1530711,1569171,-1174.0,True,1
AXZ,-9317,-7354,0,0,0,0,0.4444444444444444,29.750716666666666,0,1086785,,,0,False,0
SHG,10029,1199,0,4,4,1,1.7647058823529411,46.043733333333336,0,923498,1964408,2350831,298.3333333333333,True,1
FL,-10029,-1199,1,0,2,1,0.5666666666666667,46.043733333333336,1,981708,1014994,,0,False,0
AXZ,8597,2666,0,1,3,2,1.8,24.326533333333334,0,547813,1376839,1410085,0,True,1
V3,-8597,-2666,0,0,0,0,0.5555555555555556,24.326533333333334,0,902019,,,0,False,0
SHG,13240,5016,0,1,2,2,11,24.26455,0,592105,1357958,1426679,0,True,1
V3,-13240,-5016,0,0,1,0,0.0,24.26455,0,1039904,,,0,False,0
SG,9845,-1679,0,1,4,0,3.2,27.974783333333335,0,801944,1647371,1643299,0,False,1
FL,-9845,1679,0,0,0,2,0.3125,27.974783333333335,0,767774,1604712,,0,True,0
SG,15154,2212,0,1,4,0,4.714285714285714,27.37151666666667,0,872224,1424980,1635220,1547.0,True,1
AXZ,-15154,-2212,0,0,0,2,0.21212121212121213,27.37151666666667,0,1187923,,,0,False,0
SHG,9270,1062,0,1,1,2,2.5,28.672716666666666,1,859134,1634787,1686703,4154.0,True,1
SG,-9270,-1062,0,0,3,0,0.4,28.672716666666666,0,952881,,,0,False,0
SG,14456,5271,0,2,3,2,1.5714285714285714,31.3965,0,690119,1814514,1386924,1031.0,True,1
V3,-14456,-5271,0,0,1,0,0.6363636363636364,31.3965,0,1732615,,,0,False,0
FL,4928,2789,0,1,2,0,1.5,31.75883333333333,0,910170,1875697,1885198,-1897.0,True,1
SHG,-4928,-2789,0,0,2,2,0.5833333333333334,31.75883333333333,0,1231480,,,0,False,0
DFM,16649,2344,0,1,3,2,9.0,23.95995,0,890806,1397672,1405250,0,False,1
SHG,-16649,-2344,0,0,0,0,0.05555555555555555,23.95995,0,,,,0,True,0
AXZ,6370,-98,1,1,5,1,2.8333333333333335,32.14523333333333,0,1001217,1444839,1868802,0,False,1
FL,-6370,98,0,1,0,1,0.35294117647058826,32.14523333333333,1,853712,1459791,,-323.0,True,0
SG,9526,-1702,0,1,2,0,3.0,24.876633333333334,0,970723,1457707,1467617,4402.0,True,1
V3,-9526,1702,0,0,1,2,0.3333333333333333,24.876633333333334,0,933196,,,0,False,0
FL,6438,-1009,0,1,2,1,1.875,29.27488333333333,0,1160189,1684926,1736913,0,False,1
CGA,-6438,1009,0,1,2,1,0.5333333333333333,29.27488333333333,0,1017434,1615553,,915.0,True,0
FL,11958,2937,0,2,2,2,2.0,31.0953,0,804766,1432838,1824235,1264.5,True,1
AXZ,-11958,-2937,0,0,2,0,0.5,31.0953,0,,,,0,False,0
BC,4945,-2909,0,0,2,0,2.8333333333333335,28.2092,0,1147963,1417423,1426830,0,False,1
AXZ,-4945,2909,0,1,2,2,0.35294117647058826,28.2092,0,920812,,,-5729.0,True,0
SHG,13823,3778,0,1,1,2,9.5,24.76395,0,920169,1398313,1436600,0,True,1
SG,-13823,-3778,0,0,2,0,0.10526315789473684,24.76395,0,932372,1329413,,0,False,0
FL,11664,2458,0,2,3,1,2.125,32.26083333333333,0,668697,1637098,1915405,-9.0,True,1
SHG,-11664,-2458,0,0,2,1,0.47058823529411764,32.26083333333333,0,1308793,,,0,False,0
SG,11837,-365,0,1,0,1,7.0,24.83445,1,1071542,1380346,1448950,4110.0,False,1
V3,-11837,365,0,0,2,1,0.14285714285714285,24.83445,0,928153,,,0,True,0
SG,15964,5863,0,1,3,1,3.5,24.04768333333333,1,693311,1371408,1393378,0,True,1
V3,-15964,-5863,0,0,0,1,0.2857142857142857,24.04768333333333,0,1320617,,,0,False,0
FL,18965,4672,0,1,3,2,4.25,24.865283333333334,0,942960,1313254,1367366,997.0,True,1
AXZ,-18965,-4672,0,0,0,0,0.23529411764705882,24.865283333333334,0,,,,0,False,0
SHG,1794,-3265,0,3,4,1,0.8214285714285714,42.67946666666667,1,1126010,2023175,2035209,143.33333333333334,False,1
DFM,-1794,3265,0,0,3,1,1.1666666666666667,42.67946666666667,1,1114512,2096393,2305815,0,True,0
SG,10174,829,0,1,4,1,2.0833333333333335,29.119683333333334,0,878361,1441885,1542451,1157.0,True,1
FL,-10174,-829,0,0,0,1,0.48,29.119683333333334,0,1105933,,,0,False,0
BC,10190,2250,0,1,1,2,1.7777777777777777,28.115483333333334,0,821236,1626178,1636567,0,True,1
AXZ,-10190,-2250,0,0,3,0,0.5625,28.115483333333334,0,925666,,,0,False,0
DFM,8474,2605,0,1,4,2,2.0,38.0393,0,1015754,1787073,2030995,-1746.0,True,1
SHG,-8474,-2605,0,1,1,0,0.5,38.0393,0,1096174,,,-2180.0,False,0
AXZ,10710,779,1,1,5,2,3.4285714285714284,39.55648333333333,1,1030301,2181089,2336234,2378.0,True,1
SG,-10710,-779,0,2,1,0,0.2916666666666667,39.55648333333333,0,1780322,1837750,,-1809.0,False,0
FL,15853,3312,0,2,1,2,2.9,30.784933333333335,1,977586,1784137,1814928,2443.5,True,1
AXZ,-15853,-3312,0,0,3,0,0.3448275862068966,30.784933333333335,0,970386,,,0,False,0
FL,1395,-164,1,1,2,0,1.2380952380952381,47.30595,1,984307,2480925,2816916,1895.0,False,1
AXZ,-1395,164,1,2,5,2,0.8076923076923077,47.30595,0,999412,2061724,2331080,-250.5,True,0
DFM,9165,1349,0,1,3,2,2.142857142857143,29.78565,0,846808,1724841,1734932,1589.0,True,1
SHG,-9165,-1349,0,0,0,0,0.4666666666666667,29.78565,0,856071,,,0,False,0
SHG,12200,1179,0,1,4,2,8.0,26.808933333333332,0,1003650,1519003,1579860,1741.0,True,1
DFM,-12200,-1179,0,0,0,0,0.125,26.808933333333332,0,921312,,,0,False,0
DFM,8143,-579,0,1,2,0,1.4285714285714286,30.616183333333332,0,891187,1688495,1797926,3928.0,False,1
SHG,-8143,579,0,0,1,2,0.7,30.616183333333332,0,902948,,,0,True,0
CGA,14271,1833,0,1,4,2,4.0,31.6062,0,1071763,1660908,1845837,1857.0,True,1
V3,-14271,-1833,0,0,0,0,0.25,31.6062,0,,,,0,False,0
FL,16731,5805,0,1,2,2,17.0,23.908316666666668,0,820104,1139458,1383038,0,False,1
V3,-16731,-5805,0,0,1,0,0.058823529411764705,23.908316666666668,0,,,,0,True,0
FL,13499,2103,0,2,3,2,2.2222222222222223,31.743733333333335,0,981782,1826389,1858017,-283.0,True,1
BC,-13499,-2103,0,0,2,0,0.45,31.743733333333335,0,1082282,,,0,False,0
AXZ,4401,2019,0,0,4,2,1.4444444444444444,32.8752,0,988550,1862457,1869697,0,True,1
BC,-4401,-2019,0,1,0,0,0.6923076923076923,32.8752,0,1391561,,,-2528.0,False,0
SHG,10984,1046,0,1,2,0,6.0,27.494716666666665,1,982051,1609598,1623278,0,True,1
FL,-10984,-1046,0,0,1,2,0.16666666666666666,27.494716666666665,1,1581758,,,0,False,0
SG,6420,164,0,1,3,1,1.7777777777777777,36.62798333333333,1,1047568,1960319,2171401,-519.0,True,1
FL,-6420,-164,0,1,2,1,0.5625,36.62798333333333,1,1083127,1469837,,3694.0,False,0
DFM,11721,1028,0,1,3,0,2.6,28.469866666666668,0,1108457,1580000,1667154,2553.0,True,1
V3,-11721,-1028,0,0,1,2,0.38461538461538464,28.469866666666668,1,930849,,,0,False,0
SHG,13014,3825,0,1,3,2,7.5,24.416883333333335,0,854625,1233703,1434040,0,True,1
AXZ,-13014,-3825,0,0,0,0,0.06666666666666667,24.416883333333335,0,1386217,,,0,False,0
DFM,13308,72,0,1,2,1,4.2,25.654916666666665,0,859550,1462627,1515652,2669.0,False,1
SG,-13308,-72,0,0,1,1,0.23809523809523808,25.654916666666665,0,908071,,,0,True,0
SHG,13277,3779,0,1,4,0,8.5,29.985483333333335,1,859554,1718925,1748464,0,True,1
CGA,-13277,-3779,0,1,0,2,0.11764705882352941,29.985483333333335,1,1227726,,,197.0,False,0
BC,10721,-500,0,1,1,2,2.8333333333333335,34.692283333333336,0,1032725,1858502,1775885,1811.0,False,1
SG,-10721,500,0,0,3,0,0.35294117647058826,34.692283333333336,0,1082929,,,0,True,0
BC,10108,1760,0,1,4,2,2.3333333333333335,35.438383333333334,0,1012717,1804563,2079982,0,False,1
V3,-10108,-1760,0,1,1,0,0.42857142857142855,35.438383333333334,0,1251266,1648711,1669571,264.0,True,0
SHG,7034,-242,1,1,5,1,1.8333333333333333,38.67995,0,986482,2138438,2299728,3386.0,True,1
