team,gold_diff,gold_diff_14min,elder_dragon_kills,baron_kills,dragon_kills,herald_kills,team_KD_ratio,game_length,objectives_stolen_away,first_turret_kill,second_turret_kill,third_turret_kill,baron_powerplay,first_blood,result,file_name
EST,8877,1333,0,1,4,0,3.0,29.248666666666665,0,897377,1687920,1718492,0,True,1,./games/ESPORTSTMNT01_3415614_cleaned.json
6K,-8877,-1333,0,0,0,2,0.3333333333333333,29.248666666666665,0,899780,1162728,,0,False,0,./games/ESPORTSTMNT01_3415614_cleaned.json
R7,17200,4418,0,1,2,1,4.166666666666667,24.89685,0,861267,1139701,1381176,0,False,1,./games/ESPORTSTMNT01_3371891_cleaned.json
AK,-17200,-4418,0,0,0,1,0.24,24.89685,0,,,,0,True,0,./games/ESPORTSTMNT01_3371891_cleaned.json
R7,14906,4263,0,1,3,2,2.625,29.788616666666666,0,661731,1637235,1727779,2025.0,False,1,./games/ESPORTSTMNT03_3185689_cleaned.json
ISG,-14906,-4263,0,0,1,0,0.38095238095238093,29.788616666666666,0,,,,0,True,0,./games/ESPORTSTMNT03_3185689_cleaned.json
R7,8438,2205,0,1,3,1,2.7142857142857144,27.521483333333332,1,776732,1576658,1607598,3105.0,True,1,./games/ESPORTSTMNT04_2675614_cleaned.json
INF,7183,1953,0,1,2,2,1.4285714285714286,40.102783333333335,0,1025429,2271479,2382523,-881.0,True,1,./games/ESPORTSTMNT01_3373516_cleaned.json
AZE,-7183,-1953,0,0,3,0,0.7,40.102783333333335,1,1345964,,,0,False,0,./games/ESPORTSTMNT01_3373516_cleaned.json
EST,15042,4309,0,1,4,1,4.5,27.105733333333333,0,590865,1413984,1591897,1404.0,True,1,./games/ESPORTSTMNT01_3384567_cleaned.json
INF,-15042,-4309,0,0,0,1,0.2222222222222222,27.105733333333333,0,,,,0,False,0,./games/ESPORTSTMNT01_3384567_cleaned.json
6K,10467,1677,0,1,4,1,2.3333333333333335,29.89005,0,851242,1739803,1767609,0,True,1,./games/ESPORTSTMNT01_3410874_cleaned.json
ISG,-10467,-1677,0,0,0,1,0.42857142857142855,29.89005,0,860436,,,0,False,0,./games/ESPORTSTMNT01_3410874_cleaned.json
R7,10991,2435,0,1,1,2,3.0,28.99785,1,864210,1346611,1678747,0,True,1,./games/ESPORTSTMNT01_3385110_cleaned.json
LEV,-10991,-2435,0,0,2,0,0.3333333333333333,28.99785,0,1015068,,,0,False,0,./games/ESPORTSTMNT01_3385110_cleaned.json
ISG,9288,1111,0,2,3,1,1.6428571428571428,38.113483333333335,0,1031497,1833544,2268542,902.5,True,1,./games/ESPORTSTMNT01_3406817_cleaned.json
AZE,-9288,-1111,0,0,2,1,0.6086956521739131,38.113483333333335,0,1081605,,,0,False,0,./games/ESPORTSTMNT01_3406817_cleaned.json
R7,6954,-511,0,2,3,1,1.4444444444444444,39.93131666666667,0,1103562,1806179,1952188,660.0,False,1,./games/ESPORTSTMNT03_3192436_cleaned.json
AZE,-6954,511,0,0,3,1,0.6923076923076923,39.93131666666667,0,950874,,,0,True,0,./games/ESPORTSTMNT03_3192436_cleaned.json
R7,-47,-1093,0,1,2,0,0.8571428571428571,36.48965,0,993350,2158893,2166655,-3114.0,False,1,./games/ESPORTSTMNT02_3215299_cleaned.json
EST,47,1093,0,1,3,2,1.1666666666666667,36.48965,0,979507,1867820,1772849,2269.0,True,0,./games/ESPORTSTMNT02_3215299_cleaned.json
INF,8127,1396,0,0,3,1,2.3333333333333335,27.411516666666667,0,846306,1431557,1618230,0,True,1,./games/ESPORTSTMNT04_2689217_cleaned.json
R7,-8127,-1396,0,1,0,1,0.42857142857142855,27.411516666666667,0,966018,,,-3092.0,False,0,./games/ESPORTSTMNT04_2689217_cleaned.json
EST,11658,601,0,2,2,1,2.3333333333333335,30.248566666666665,0,1022427,1639051,1459537,-668.0,False,1,./games/ESPORTSTMNT01_3372605_cleaned.json
ISG,-11658,-601,0,0,1,1,0.42857142857142855,30.248566666666665,1,1096395,,,0,True,0,./games/ESPORTSTMNT01_3372605_cleaned.json
6K,7209,522,1,2,5,1,1.3529411764705883,36.5291,0,976819,1664158,2155030,-567.5,True,1,./games/ESPORTSTMNT03_3184300_cleaned.json
INF,-7209,-522,0,0,1,1,0.7391304347826086,36.5291,0,896949,1756940,1811776,0,False,0,./games/ESPORTSTMNT03_3184300_cleaned.json
R7,12954,3288,0,1,4,1,2.3333333333333335,27.43165,0,933273,1599293,1630528,863.0,True,1,./games/ESPORTSTMNT04_2689226_cleaned.json
INF,-12954,-3288,0,0,0,1,0.42857142857142855,27.43165,0,1381193,,,0,False,0,./games/ESPORTSTMNT04_2689226_cleaned.json
ISG,9618,1690,0,1,2,1,2.142857142857143,33.09145,1,890617,1948325,1957956,3574.0,False,1,./games/ESPORTSTMNT02_3214016_cleaned.json
LEV,-9618,-1690,0,0,2,1,0.4666666666666667,33.09145,0,1148249,,,0,True,0,./games/ESPORTSTMNT02_3214016_cleaned.json
EST,1803,1070,0,2,4,0,1.0526315789473684,42.865966666666665,0,955959,2531883,2555045,-1433.0,True,1,./games/ESPORTSTMNT03_3192029_cleaned.json
6K,-1803,-1070,0,1,2,2,0.95,42.865966666666665,1,1032164,2436578,2446451,4214.0,False,0,./games/ESPORTSTMNT03_3192029_cleaned.json
INF,13488,-408,0,2,4,2,8.5,32.64073333333333,1,867143,1601749,1728783,709.0,True,1,./games/ESPORTSTMNT03_3191961_cleaned.json
LEV,-13488,408,0,0,1,0,0.1111111111111111,32.64073333333333,0,1500734,,,0,False,0,./games/ESPORTSTMNT03_3191961_cleaned.json
R7,16634,2923,0,2,4,2,2.875,33.07735,0,953856,1712802,1960460,670.0,True,1,./games/ESPORTSTMNT04_2690211_cleaned.json
INF,-16634,-2923,0,0,0,0,0.34782608695652173,33.07735,0,1202726,,,0,False,0,./games/ESPORTSTMNT04_2690211_cleaned.json
R7,-8479,132,0,0,1,0,0.5714285714285714,32.82096666666666,2,1231044,,,0,True,0,./games/ESPORTSTMNT04_2675612_cleaned.json
ISG,4827,878,0,0,3,1,3.0,30.191333333333333,0,1237609,1596966,1784471,0,True,1,./games/ESPORTSTMNT01_3373574_cleaned.json
EST,-4827,-878,0,0,1,1,0.3333333333333333,30.191333333333333,0,1227306,1246361,,0,False,0,./games/ESPORTSTMNT01_3373574_cleaned.json
AZE,6245,-831,0,1,1,2,1.4615384615384615,32.08538333333333,0,1149701,1842223,1883271,0,False,1,./games/ESPORTSTMNT03_3184341_cleaned.json
AK,-6245,831,0,1,3,0,0.6842105263157895,32.08538333333333,0,1311280,,,-780.0,True,0,./games/ESPORTSTMNT03_3184341_cleaned.json
INF,10496,-423,0,2,2,1,1.7777777777777777,32.730383333333336,1,890101,1851799,1954156,948.0,False,1,./games/ESPORTSTMNT03_3184313_cleaned.json
6K,-10496,423,0,0,3,1,0.5625,32.730383333333336,0,909634,,,0,True,0,./games/ESPORTSTMNT03_3184313_cleaned.json
INF,6952,2980,0,0,4,0,2.7142857142857144,30.716966666666668,0,897905,1813181,1820680,0,True,1,./games/ESPORTSTMNT01_3408095_cleaned.json
ISG,-6952,-2980,0,0,0,2,0.3684210526315789,30.716966666666668,0,890880,,,0,False,0,./games/ESPORTSTMNT01_3408095_cleaned.json
EST,9128,2759,0,0,2,2,2.0,20.4288,0,917731,1177189,1194891,0,True,1,./games/ESPORTSTMNT01_3382699_cleaned.json
INF,-9128,-2759,0,0,0,0,0.5,20.4288,0,1157775,,,0,False,0,./games/ESPORTSTMNT01_3382699_cleaned.json
R7,-1420,-2551,0,0,4,1,1.2941176470588236,36.54501666666667,0,1029520,2158887,2165799,0,False,1,./games/ESPORTSTMNT01_3412584_cleaned.json
