team,gold_diff,gold_diff_14min,elder_dragon_kills,baron_kills,dragon_kills,herald_kills,team_KD_ratio,game_length,objectives_stolen_away,first_turret_kill,second_turret_kill,third_turret_kill,baron_powerplay,first_blood,result,file_name
BLG,12667,-486,0,1,4,1,2.1818181818181817,28.094416666666667,0,853843,1633661,1654868,2894.0,True,1,./games/LPL_B_326305_cleaned.json
IG,-12667,486,0,0,0,1,0.4583333333333333,28.094416666666667,0,859779,,,0,False,0,./games/LPL_B_326305_cleaned.json
OMG,13262,-250,0,1,3,1,4.5,26.790283333333335,0,934117,1551140,1560742,4074.0,False,1,./games/LPL_B_328711_cleaned.json
EDG,-13262,250,0,0,1,1,0.2222222222222222,26.790283333333335,0,1313493,,,0,True,0,./games/LPL_B_328711_cleaned.json
BLG,9484,5084,1,2,5,2,1.5294117647058822,36.47435,0,630353,1504746,2054355,1138.0,True,1,./games/LPL_A_328961_cleaned.json
OMG,-9484,-5084,0,1,0,0,0.6538461538461539,36.47435,1,,,,2514.0,False,0,./games/LPL_A_328961_cleaned.json
EDG,11616,4419,0,1,2,2,2.6,24.021083333333333,0,701636,1356681,1394374,3370.0,True,1,./games/LPL_A_334062_cleaned.json
IG,-11616,-4419,0,0,1,0,0.38461538461538464,24.021083333333333,0,,,,0,False,0,./games/LPL_A_334062_cleaned.json
WE,12837,562,0,1,4,1,3.0,32.07136666666667,0,887217,1674143,1791868,2124.0,True,1,./games/LPL_B_326887_cleaned.json
WBG,-12837,-562,0,0,1,1,0.3333333333333333,32.07136666666667,0,899767,,,0,False,0,./games/LPL_B_326887_cleaned.json
OMG,12238,258,0,1,2,2,2.7142857142857144,29.29575,0,861370,1666955,1716982,6953.0,False,1,./games/LPL_B_329939_cleaned.json
RA,-12238,-258,0,0,2,0,0.3684210526315789,29.29575,0,949994,,,0,True,0,./games/LPL_B_329939_cleaned.json
TT,1796,-1422,0,0,4,2,1.2222222222222223,33.10281666666667,0,1070714,1337715,1961559,0,False,1,./games/LPL_B_329532_cleaned.json
LNG,-1796,1422,0,1,0,0,0.8181818181818182,33.10281666666667,0,889453,1715764,,-613.0,True,0,./games/LPL_B_329532_cleaned.json
TES,5402,514,0,2,4,1,2.8,39.986783333333335,1,702102,1749255,2092112,-501.0,True,1,./games/LPL_A_335184_cleaned.json
LGD,-5402,-514,0,1,1,1,0.35714285714285715,39.986783333333335,0,956853,2029280,2354172,-1937.0,False,0,./games/LPL_A_335184_cleaned.json
IG,-679,892,0,0,4,0,1.1764705882352942,43.55191666666666,0,1041642,2059400,2398568,0,True,1,./games/LPL_A_328720_cleaned.json
LGD,679,-892,0,3,2,2,0.85,43.55191666666666,0,1449265,2285147,2339652,-584.0,False,0,./games/LPL_A_328720_cleaned.json
LGD,4256,1796,0,1,0,2,1.1538461538461537,35.98795,0,692487,1086129,2134262,-990.0,False,1,./games/LPL_B_327843_cleaned.json
WE,-4256,-1796,0,1,4,0,0.8666666666666667,35.98795,0,1029866,,,0,True,0,./games/LPL_B_327843_cleaned.json
WBG,13577,2513,0,2,4,2,3.2,30.366116666666667,0,943529,1418969,1786375,2882.0,True,1,./games/LPL_A_334282_cleaned.json
RA,-13577,-2513,0,0,0,0,0.3125,30.366116666666667,0,1377952,,,0,False,0,./games/LPL_A_334282_cleaned.json
UP,11361,43,0,1,4,2,1.5625,31.491566666666667,0,1216843,1640842,1852774,1387.0,True,1,./games/LPL_A_329551_cleaned.json
AL,-11361,-43,0,1,1,0,0.64,31.491566666666667,2,1302179,,,80.0,False,0,./games/LPL_A_329551_cleaned.json
UP,12897,2534,0,1,4,1,5.0,29.129383333333333,0,910327,1563026,1543239,4270.0,True,1,./games/LPL_A_330108_cleaned.json
FPX,-12897,-2534,0,0,0,1,0.13333333333333333,29.129383333333333,0,1017068,,,0,False,0,./games/LPL_A_330108_cleaned.json
RA,10729,1343,0,2,3,1,1.7,30.438183333333335,0,920439,1405623,1437459,1595.0,False,1,./games/LPL_B_327394_cleaned.json
TT,-10729,-1343,0,0,1,1,0.5882352941176471,30.438183333333335,0,1121740,,,0,True,0,./games/LPL_B_327394_cleaned.json
WBG,5905,495,0,0,4,0,1.6666666666666667,35.68378333333333,0,924387,1901293,1805802,0,False,1,./games/LPL_A_343392_cleaned.json
NIP,-5905,-495,0,1,1,2,0.6,35.68378333333333,0,936764,1753009,,-3771.0,True,0,./games/LPL_A_343392_cleaned.json
WBG,13052,853,0,1,3,1,4.0,25.840666666666667,0,1076739,1525219,1414260,3266.0,True,1,./games/LPL_A_330305_cleaned.json
OMG,-13052,-853,0,0,0,1,0.25,25.840666666666667,0,,,,0,False,0,./games/LPL_A_330305_cleaned.json
TES,12994,1839,0,1,2,1,18.0,27.11435,0,939569,1578610,1591880,0,True,1,./games/LPL_B_327735_cleaned.json
RA,-12994,-1839,0,0,1,1,0.05555555555555555,27.11435,1,961816,1446826,,0,False,0,./games/LPL_B_327735_cleaned.json
LNG,10569,1222,0,1,3,2,8.0,32.129583333333336,0,624712,1589193,1582021,1539.0,True,1,./games/LPL_B_326466_cleaned.json
