team,gold_diff,gold_diff_14min,elder_dragon_kills,baron_kills,dragon_kills,herald_kills,team_KD_ratio,game_length,objectives_stolen_away,first_turret_kill,second_turret_kill,third_turret_kill,baron_powerplay,first_blood,result,file_name
CFO,6890,54,0,1,4,0,1.8,38.99005,0,1186737,1749679,2064398,2014.0,True,1,./games/ESPORTSTMNT01_3418439_cleaned.json
FAK,-6890,-54,0,1,1,2,0.5555555555555556,38.99005,0,,,,-1421.0,False,0,./games/ESPORTSTMNT01_3418439_cleaned.json
HPS,-3303,708,0,1,4,2,0.8214285714285714,48.7657,0,814515,2082052,2439026,-857.0,False,1,./games/ESPORTSTMNT03_3200515_cleaned.json
DCG,3303,-708,1,3,2,0,1.2173913043478262,48.7657,2,1109809,2259595,2165255,-418.6666666666667,True,0,./games/ESPORTSTMNT03_3200515_cleaned.json
PSG,17442,4006,0,1,4,2,4.5,26.981633333333335,0,875441,1503866,1599516,620.0,True,1,./games/ESPORTSTMNT01_3417386_cleaned.json
BYG,-17442,-4006,0,0,0,0,0.2222222222222222,26.981633333333335,0,,,,0,False,0,./games/ESPORTSTMNT01_3417386_cleaned.json
BYG,12381,-1137,0,1,3,1,2.875,33.90181666666667,0,1016927,1779315,1823610,2935.0,False,1,./games/ESPORTSTMNT01_3414084_cleaned.json
WP,13119,3057,0,1,3,1,3.8,24.072616666666665,0,741926,1359056,1393321,0,True,1,./games/ESPORTSTMNT02_3218213_cleaned.json
DWT,-13119,-3057,0,0,0,1,0.2631578947368421,24.072616666666665,0,744730,,,0,False,0,./games/ESPORTSTMNT02_3218213_cleaned.json
CFO,6802,855,0,1,4,2,1.5833333333333333,30.511416666666666,0,972617,1238516,1809440,-1467.0,True,1,./games/ESPORTSTMNT01_3415988_cleaned.json
DCG,-6802,-855,0,0,0,0,0.631578947368421,30.511416666666666,1,969647,,,0,False,0,./games/ESPORTSTMNT01_3415988_cleaned.json
FAK,9869,-835,0,1,2,1,2.0,31.99295,0,953213,1763110,1778686,1878.0,False,1,./games/ESPORTSTMNT01_3415800_cleaned.json
PSG,14862,6086,0,0,2,2,6.0,20.715066666666665,0,904920,1073252,1088057,0,True,1,./games/ESPORTSTMNT03_3197994_cleaned.json
IMP,-14862,-6086,0,0,0,0,0.16666666666666666,20.715066666666665,0,,,,0,False,0,./games/ESPORTSTMNT03_3197994_cleaned.json
CFO,11053,-706,0,2,2,0,4.0,30.138533333333335,0,961407,1755242,1790012,754.0,False,1,./games/ESPORTSTMNT01_3413797_cleaned.json
CFO,13514,4896,0,1,3,1,5.25,28.09185,0,828937,1391446,1442329,2755.0,True,1,./games/ESPORTSTMNT01_3418479_cleaned.json
BYG,-13514,-4896,0,0,0,1,0.19047619047619047,28.09185,0,1085889,,,0,False,0,./games/ESPORTSTMNT01_3418479_cleaned.json
CFO,15894,6686,0,1,3,2,12,23.075333333333333,0,748124,1155114,1343829,0,True,1,./games/ESPORTSTMNT02_3221602_cleaned.json
DWT,-15894,-6686,0,0,0,0,0.0,23.075333333333333,0,1255017,,,0,False,0,./games/ESPORTSTMNT02_3221602_cleaned.json
FAK,15541,1741,0,1,2,2,8.0,26.438566666666667,0,888208,1519068,1414439,2824.0,True,1,./games/ESPORTSTMNT01_3418142_cleaned.json
JT,-15541,-1741,0,0,1,0,0.125,26.438566666666667,0,893877,,,0,False,0,./games/ESPORTSTMNT01_3418142_cleaned.json
PSG,8102,424,0,1,4,2,4.333333333333333,30.39715,0,1111313,1744794,1792142,0,True,1,./games/ESPORTSTMNT01_3416503_cleaned.json
BYG,-8102,-424,0,0,0,0,0.23076923076923078,30.39715,0,776273,1754753,,0,False,0,./games/ESPORTSTMNT01_3416503_cleaned.json
DCG,12411,2767,0,1,1,0,5.75,23.730116666666667,0,938951,1180490,1277040,0,True,1,./games/ESPORTSTMNT02_3219854_cleaned.json
DWT,-12411,-2767,0,0,2,2,0.17391304347826086,23.730116666666667,0,1219114,,,0,False,0,./games/ESPORTSTMNT02_3219854_cleaned.json
PSG,-8662,-1652,0,0,3,0,0.35714285714285715,33.947266666666664,0,895804,,,0,False,0,./games/ESPORTSTMNT04_2675712_cleaned.json
PSG,10277,1671,1,0,5,1,2.8,34.70766666666667,1,1039119,2020942,2035863,0,True,1,./games/ESPORTSTMNT02_3222453_cleaned.json
