team,gold_diff,gold_diff_14min,elder_dragon_kills,baron_kills,dragon_kills,herald_kills,team_KD_ratio,game_length,objectives_stolen_away,first_turret_kill,second_turret_kill,third_turret_kill,baron_powerplay,first_blood,result
GAM,6983,-1451,0,1,2,1,1.0625,27.35185,0,988622,1493676,1496313,7708.0,True,1
CES,-6983,1451,0,0,2,1,0.9411764705882353,27.35185,1,1035632,,,0,False,0
GAM,8441,-598,0,1,4,1,1.8333333333333333,30.79485,0,1109455,1799936,1811083,2922.0,False,1
TF,-8441,598,0,0,0,1,0.5454545454545454,30.79485,0,954201,,,0,True,0
R7,8438,2205,0,1,3,1,2.7142857142857144,27.521483333333332,1,776732,1576658,1607598,3105.0,True,1
GAM,-8438,-2205,0,0,1,1,0.3684210526315789,27.521483333333332,0,799629,1546574,,0,False,0
GAM,9720,2445,0,1,4,1,1.75,29.261283333333335,0,761085,1705012,1718621,1730.0,True,1
CES,-9720,-2445,0,0,0,1,0.5714285714285714,29.261283333333335,0,907167,,,0,False,0
SGB,9676,974,0,3,3,0,2.090909090909091,39.47755,0,1033257,1957280,2324621,1582.5,True,1
TF,-9676,-974,0,0,3,2,0.4782608695652174,39.47755,0,1080739,1749123,1687797,0,False,0
SGB,5389,-1007,0,2,1,0,0.7647058823529411,37.19081666666667,0,902793,2086962,2099067,1457.0,True,1
TS,-5389,1007,0,0,4,2,1.3076923076923077,37.19081666666667,0,732947,,,0,False,0
TW,13293,1695,0,1,3,1,2.857142857142857,25.984166666666667,0,919614,1488801,1511529,0,True,1
MBE,-13293,-1695,0,0,1,1,0.35,25.984166666666667,0,869082,1441253,,0,False,0
TW,12304,-288,0,1,2,1,3.5,26.01515,0,908811,1473094,1487819,0,False,1
SGB,-12304,288,0,0,2,1,0.2857142857142857,26.01515,0,1074044,,,0,True,0
GAM,15942,2923,0,1,4,2,3.375,30.391083333333334,0,927495,1553499,1786005,4724.0,True,1
TS,-15942,-2923,0,0,0,0,0.2962962962962963,30.391083333333334,0,910593,,,0,False,0
SGB,8065,207,0,1,4,1,4.0,31.639983333333333,0,953072,1702437,1803274,1207.0,True,1
GAM,-8065,-207,0,0,0,1,0.25,31.639983333333333,0,1055823,1397091,,0,False,0
SGB,11618,647,0,1,1,2,1.6666666666666667,27.9136,0,961505,1487305,1624280,4138.0,False,1
MBE,-11618,-647,0,0,2,0,0.6,27.9136,0,980687,,,0,True,0
CES,6485,909,0,2,3,1,1.368421052631579,33.3731,0,896549,1690236,1511878,-415.0,True,1
TS,-6485,-909,0,0,1,1,0.7307692307692307,33.3731,0,1413861,1894665,,0,False,0
SGB,6542,468,0,1,3,2,2.0,23.957416666666667,0,850316,1298131,1335685,541.0,True,1
TW,-6542,-468,0,0,0,0,0.5,23.957416666666667,0,1196010,,,0,False,0
TS,11222,841,0,1,3,0,3.2,25.061566666666668,0,1053748,1474087,1481452,6342.0,True,1
CES,-11222,-841,0,0,1,2,0.3125,25.061566666666668,0,927349,,,0,False,0
TW,7519,150,0,2,3,0,1.3,35.603633333333335,0,956670,1813557,2084983,1765.5,False,1
TF,-7519,-150,0,0,3,2,0.7142857142857143,35.603633333333335,1,867078,,,0,True,0
TF,6125,-570,0,1,2,2,1.125,34.243566666666666,0,859158,1934731,1964467,0,True,1
MBE,-6125,570,0,1,3,0,0.8888888888888888,34.243566666666666,0,861694,1803453,1810619,-240.0,False,0
TW,7497,-751,0,1,1,1,2.2857142857142856,24.89015,0,962203,1434723,1468019,0,True,1
CES,-7497,751,0,0,2,1,0.4375,24.89015,1,941972,,,0,False,0
CES,12582,4105,0,1,4,1,3.4285714285714284,29.559483333333333,0,973791,1617623,1748158,753.0,True,1
GAM,-12582,-4105,0,0,0,1,0.2916666666666667,29.559483333333333,0,1020422,,,0,False,0
TS,13425,4252,0,1,3,2,3.25,22.305566666666667,0,756838,1191194,1302721,0,True,1
TW,-13425,-4252,0,0,0,0,0.3076923076923077,22.305566666666667,0,,,,0,False,0
TF,6140,-976,0,2,2,1,1.4166666666666667,29.745333333333335,0,851717,1714934,1750173,-962.0,False,1
GAM,-6140,976,0,0,2,1,0.7058823529411765,29.745333333333335,0,940052,1578592,1389758,0,True,0
TF,8344,-758,0,2,2,1,1.5384615384615385,31.819733333333332,0,794326,1599792,1868917,-22.0,False,1
CES,-8344,758,0,0,2,1,0.65,31.819733333333332,0,1297629,,,0,True,0
TF,5532,-326,0,2,2,0,1.25,40.605533333333334,0,919518,1977390,2348515,1117.5,True,1
TW,-5532,326,0,1,4,2,0.8,40.605533333333334,0,534801,1653644,2245471,-749.0,False,0
TW,14321,3636,0,2,4,2,14.0,31.36715,0,901056,1638450,1655066,2055.0,True,1
TS,-14321,-3636,0,0,0,0,0.07142857142857142,31.36715,0,859999,,,0,False,0
GAM,8479,-132,0,1,4,2,1.75,32.82096666666666,0,1071138,1940081,1949380,0,False,1
R7,-8479,132,0,0,1,0,0.5714285714285714,32.82096666666666,2,1231044,,,0,True,0
SGB,17184,4919,0,1,4,2,5.25,28.496316666666665,0,828398,1497769,1514912,3495.0,True,1
CES,-17184,-4919,0,0,0,0,0.19047619047619047,28.496316666666665,0,1216869,,,0,False,0
SGB,11646,2501,0,2,4,2,2.2,30.375033333333334,0,680568,1508283,1794093,168.0,False,1
TS,-11646,-2501,0,0,1,0,0.45454545454545453,30.375033333333334,1,1040293,,,0,True,0
TW,7339,3250,0,1,3,1,1.4,33.27575,0,810966,1634243,1963458,0,False,1
TS,-7339,-3250,0,1,2,1,0.7142857142857143,33.27575,0,901179,1547748,,-1170.0,True,0
CES,14502,3616,0,2,4,2,14.0,30.3032,0,756921,1757659,1679584,-9.0,True,1
TF,-14502,-3616,0,0,0,0,0.07142857142857142,30.3032,0,1017897,1441579,,0,False,0
TS,16911,7288,0,1,3,1,5.0,22.703533333333333,0,796574,1091058,1332223,0,True,1
MBE,-16911,-7288,0,0,0,1,0.2,22.703533333333333,0,852170,,,0,False,0
TW,13338,4434,0,1,2,1,4.142857142857143,24.2189,0,858844,1344599,1358335,2812.0,True,1
MBE,-13338,-4434,0,0,0,1,0.20689655172413793,24.2189,0,854052,1383472,,0,False,0
GAM,13476,2595,0,3,4,2,1.5333333333333334,40.9118,0,994619,2180108,2414297,359.0,True,1
TS,-13476,-2595,0,0,1,0,0.6521739130434783,40.9118,0,1074908,1881440,,0,False,0
GAM,12484,6968,0,0,2,2,1.8333333333333333,19.686366666666668,0,760429,1101422,1147919,0,True,1
SGB,-12484,-6968,0,0,0,0,0.5454545454545454,19.686366666666668,0,1102859,,,0,False,0
SGB,8118,-776,0,1,3,1,1.3333333333333333,26.471383333333332,0,890195,1507319,1526807,0,False,1
CES,-8118,776,0,0,1,1,0.75,26.471383333333332,0,1022379,,,0,True,0
GAM,6619,3254,0,1,4,2,1.0,35.51255,0,997868,1966972,1839758,1255.0,True,1
TS,-6619,-3254,0,1,1,0,1.0,35.51255,0,1348419,1386204,,2163.0,False,0
SGB,12439,3338,0,1,4,1,2.75,28.608833333333333,0,931206,1550706,1679546,3665.0,True,1
TF,-12439,-3338,0,0,0,1,0.36363636363636365,28.608833333333333,0,1549867,,,0,False,0
SGB,6687,1385,1,2,1,2,0.9545454545454546,34.7815,0,806613,1708036,2069395,-3173.0,True,1
TF,-6687,-1385,0,0,4,0,1.0476190476190477,34.7815,0,903895,1625314,1718267,0,False,0
TS,14477,2620,0,1,3,2,4.666666666666667,27.795916666666667,0,904703,1444180,1637502,4175.0,False,1
TF,-14477,-2620,0,0,1,0,0.21428571428571427,27.795916666666667,0,1095791,,,0,True,0
CES,2943,-1981,0,1,3,1,1.1333333333333333,33.60026666666667,0,1012701,1987610,1994784,-4677.0,False,1
TS,-2943,1981,0,0,2,1,0.8823529411764706,33.60026666666667,0,1097970,1569804,1583678,0,True,0
TW,16076,5874,0,1,2,1,18,24.95985,1,692146,1418425,1454130,0,True,1
TS,-16076,-5874,0,0,1,1,0.0,24.95985,0,,,,0,False,0
GAM,7981,1463,0,1,3,2,1.4285714285714286,33.21168333333333,0,682030,1683583,1958596,1045.0,False,1
SGB,-7981,-1463,0,0,1,0,0.7,33.21168333333333,0,905780,1663866,,0,True,0
TF,15927,2629,0,2,4,2,2.7777777777777777,36.16738333333333,0,1015550,1848769,1915317,1171.0,False,1
SGB,-15927,-2629,0,0,2,0,0.36,36.16738333333333,0,1116981,,,0,True,0
SGB,11281,1184,0,1,4,1,4.666666666666667,28.662716666666668,1,955436,1604754,1685092,1215.0,True,1
TF,-11281,-1184,0,0,1,1,0.21428571428571427,28.662716666666668,0,1020621,,,0,False,0
GAM,15402,7077,0,1,3,2,5.0,24.065916666666666,0,809216,1391915,1410811,0,True,1
